epoch,accuracy,loss,val_accuracy,val_loss
0,0.7229999899864197,0.8665456175804138,0.7537500262260437,0.46863770484924316
1,0.847000002861023,0.39960792660713196,0.8100000023841858,0.48925572633743286
2,0.8610000014305115,0.34007591009140015,0.9125000238418579,0.25819531083106995
3,0.8970000147819519,0.2692139446735382,0.90625,0.2835288941860199
4,0.9210000038146973,0.21215875446796417,0.8500000238418579,0.41558513045310974
5,0.9269999861717224,0.1840330809354782,0.9100000262260437,0.2694184184074402
6,0.925000011920929,0.18416059017181396,0.8949999809265137,0.3475881516933441
7,0.9490000009536743,0.14928212761878967,0.8374999761581421,0.5908457040786743
8,0.9520000219345093,0.12646599113941193,0.887499988079071,0.4205801784992218
9,0.9539999961853027,0.13337869942188263,0.9024999737739563,0.3063613474369049
